"Sample_Size","Standard","Percentile","BC","BCa","Studentized"
10,0.917,0.899,0.899,0.9,0.951
20,0.937,0.913,0.915,0.918,0.959
40,0.915,0.897,0.894,0.895,0.943
80,0.918,0.899,0.896,0.897,0.953
160,0.908,0.888,0.892,0.893,0.935
