"Sample_Size","Standard","Percentile","BC","BCa","Studentized"
100,0.9415,0.9394,0.9391,0.939,0.9483
200,0.9448,0.9411,0.9405,0.9404,0.9489
400,0.9464,0.9417,0.9421,0.9426,0.9503
