"Sample_Size","Standard","Percentile","BC","BCa","Studentized"
10,0.826,0.823,0.835,0.818,0.923
20,0.819,0.814,0.821,0.809,0.913
40,0.765,0.768,0.774,0.755,0.889
80,0.831,0.824,0.826,0.822,0.924
160,0.789,0.788,0.791,0.777,0.885
