"Sample_Size","Standard","Percentile","BC","BCa","Studentized"
100,0.9205,0.921,0.9226,0.9182,0.9406
200,0.9284,0.9286,0.9305,0.9257,0.9463
400,0.9298,0.9291,0.931,0.9273,0.9465
